Vocabulary,name,Users,MEDS:STATUS,MEDS:CATEGORY_MEANING_E,MEDS:CATEGORY_MEANING_F,MEDS:UNITS_DESCRIPTOR_E,MEDS:UNITS_DESCRIPTOR_F,MEDS:CF_CODE,MEDS:NETCDF_LONG_NAME,MEDS:WMO_CODE_TABLE_ID,MEDS:CONVENTION,BIO:units,BIO:P06 urn,BIO:P06 name,BIO:P01 urn,BIO:P01 name,BIO:CF_CODE,IML:definition,IML:units,standard_name,SDN:P07::id,SDN:P01::id,SDN:P01::urn,SDN:P01::prefLabel,sdn_parameter_urn,sdn_parameter_name,SDN:P06::id,SDN:P06::urn,SDN:P06::prefLabel,sdn_uom_urn,sdn_uom_name,expected_units,definition,convention
GF3,EEEE,MEDS,A,General purpose,Tout usage,number,nombre,,decimal_exponent,,,,,,,,,,,,,,,,,,,,,,,number,,
GF3,EIT$,MEDS,A,Physical Oceanography,Océanographie physique,text,texte,,engine_intake_water_sample,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,ELA$,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,latitude_error,,,,,,,,,,,,,,,,,,,,,,,degree,,
GF3,ELAT,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,latitude_end_of_cast,,,,,,,,,,,,,,,,,,,,,,,degree,,
GF3,ELEV,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,angle_of_elevation_of_object_from_reference_point,,,,,,,,,,,,,,,,,,,,,,,degree,,
GF3,ELO$,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,longitude_error,,,,,,,,,,,,,,,,,,,,,,,degree,,
GF3,ELON,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,longitude_end_of_cast,,,,,,,,,,,,,,,,,,,,,,,degree,,
GF3,EMAJ,MEDS,A,Position and navigation,Position et navigation,metre,mètre,,,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,EMIN,MEDS,A,Position and navigation,Position et navigation,metre,mètre,,,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,ERRV,"BIO,IML,MEDS",A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,,,,m/s,UVAA,metres per second,LERRAP01,Current velocity error in the water body by moored acoustic doppler current profiler (ADCP),,,,,,http://vocab.nerc.ac.uk/collection/P01/current/LERRAP01/,LERRAP01,Error velocity of water current in the water body by moored acoustic doppler current profiler (ADCP),SDN:P01::LERRAP01,Error velocity of water current in the water body by moored acoustic doppler current profiler (ADCP),http://vocab.nerc.ac.uk/collection/P06/current/UVAA/,UVAA,Metres per second,SDN:P06::UVAA,Metres per second,"m/s,metre per second",Error velocity of water current in the water body by moored acoustic doppler current profiler (ADCP),
GF3,ERS$,MEDS,A,Wave,Vague,percent,pourcentage,,,,,,,,,,,,,,,,,,,,,,,,,percent,,
GF3,EST$,MEDS,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,sea_surface_temperature_error,,,,,,,,,,,,,,,,,,,,,,,degree Celsius,,
GF3,ETHR,MEDS,A,Time and frequency,Temps et fréquence,hour,heure,,,,,,,,,,,,,,,,,,,,,,,,,hour,,
GF3,ETMN,MEDS,A,Time and frequency,Temps et fréquence,minute(time),minute(durée),,,,,,,,,,,,,,,,,,,,,,,,,minute(time),,
GF3,ETSC,MEDS,A,Time and frequency,Temps et fréquence,second,seconde,,,,,,,,,,,,,,,,,,,,,,,,,second,,
GF3,EVEL,MEDS,,,,,,,,,,,,,,,,Error Velocity (ADCP). Unit: mm/s,,,,,,,,,,,,,,,Error Velocity (ADCP). Unit: mm/s,
GF3,EWCM,"BIO,IML,MEDS",A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,,,,m/s,UVAA,metres per second,,,eastward_sea_water_velocity,,,eastward_sea_water_velocity,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0650/,,,,,,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/,UVAA,Metres per second,SDN:P06::UVAA,Metres per second,"m/s,metre per second",,
GF3,EWCS,MEDS,,,,,,,,,,,,,,,,East (true) Component of Current (mm/s),mm/s,,,,,,,,,,,,,mm/s,East (true) Component of Current (mm/s),
GF3,EWCT,"BIO,IML,MEDS",A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,,,,m/s,UVAA,metres per second,LCEWZZ01,Eastward current velocity in the water body,eastward_sea_water_velocity,,,eastward_sea_water_velocity,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0650/,http://vocab.nerc.ac.uk/collection/P01/current/LCEWZZ01/,LCEWZZ01,Eastward velocity of water current in the water body,SDN:P01::LCEWZZ01,Eastward velocity of water current in the water body,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/,UVAA,Metres per second,SDN:P06::UVAA,Metres per second,"m/s,metre per second",Eastward velocity of water current in the water body,
GF3,EXP$,MEDS,A,General purpose,Tout usage,text,texte,,numer_of_experiment_by_originator,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,F11$,MEDS,A,Chemistry,Chimie,picomole per kilogram,picomole par kilogramme,,mole_concentration_of_CFC11,,,,,,,,,,,,,,,,,,,,,,,picomole per kilogram,,
GF3,F12$,MEDS,A,Chemistry,Chimie,picomole per kilogram,picomole par kilogramme,,mole_concentration_of_CFC12,,,,,,,,,,,,,,,,,,,,,,,picomole per kilogram,,
GF3,FD1$,MEDS,A,Chemistry,Chimie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF3,FD2$,MEDS,A,Chemistry,Chimie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF3,FDO$,MEDS,A,Chemistry,Chimie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF3,FDT$,MEDS,A,Chemistry,Chimie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF3,FFFF,"BIO,IML,MEDS",A,General purpose,Tout usage,code table,table de code,,,,,code,,,,,,,,,,,,,,,,,,,,"code,code table",,
GF3,FIXF,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,flag_prime_nagivation_aid,,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,FLO1,MEDS,A,Chemistry,Chimie,milligram per litre,milligramme par litre,,mass_concentration_of_fluoride_in_water,,,,,,,,,,,,,,,,,,,,,,,milligram per litre,,
GF3,FLOR,"BIO,BIO,IML,MEDS",A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,mg/ m^3,,,,,,,,,,,,,,,,,,,,"milligram per metre cube,mg/ m^3",,
GF3,FLORSDEV,"BIO,MEDS",,,,,,,,,,mg/m^3,,,,,,,,,,,,,,,,,,,,mg/m^3,,
GF3,FLU$,MEDS,A,Chemistry,Chimie,percent,pourcentage,,fluorescence_in_water_as_percent,,,,,,,,,,,,,,,,,,,,,,,percent,,
GF3,FLU1,MEDS,A,Chemistry,Chimie,milligram per metre cube,milligramme par mètre cube,mass_concentration_of_chlorophyll_in_sea_water ,mass_concentration_of_chlorophyll_a_in_water_by_fluorometer,,,,,,,,,,,,,,,,,,,,,,,milligram per metre cube,,
GF3,FLU2,MEDS,A,Chemistry,Chimie,volt,volt,,fluorescence_in_water_measured_in_volts,,,,,,,,,,,,,,,,,,,,,,,volt,,
GF3,FLUD,MEDS,A,Chemistry,Chimie,milligram per metre cube,milligramme par mètre cube,,fluorescence_of_carbon_dissolved_organic_matter_in_water,,,,,,,,,,,,,,,,,,,,,,,milligram per metre cube,,
GF3,FLU_,"BIO,IML,MEDS",,,,,,,,,,%,,,,,,,,,,,,,,,,,,,,percent,,
GF3,FM1$,MEDS,A,Chemistry,Chimie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF3,FM2$,MEDS,A,Chemistry,Chimie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF3,FMO$,MEDS,A,Chemistry,Chimie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF3,FMT$,MEDS,A,Chemistry,Chimie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF3,FRE$,MEDS,I,Special IGOSS Indicator,Indicateur spécial IGOSS,code table,table de code,,equation_fall_rate,,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,FREQ,MEDS,A,Time and frequency,Temps et fréquence,hertz,hertz,wave_frequency,,,,,,,,,,,,wave_frequency,http://vocab.nerc.ac.uk/collection/P07/current/CFV8NS6/,,,,,,,,,,,hertz,,
GF3,FRQ1,MEDS,A,Wave,Vague,hertz,hertz,,,,,,,,,,,,,,,,,,,,,,,,,hertz,,
GF3,FRQ2,MEDS,A,Wave,Vague,hertz,hertz,,,,,,,,,,,,,,,,,,,,,,,,,hertz,,
GF3,FUCX,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,,,,,,,,,,milligram per metre cube,,
GF3,GBGA,MEDS,A,Geophysics,Géophysique,milligal,milligal,,Bouger_gravity_anomaly,,,,,,,,,,,,,,,,,,,,,,,milligal,,
GF3,GCO#,MEDS,A,General purpose,Tout usage,text,texte,,cruise_number_originator_NODC,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,GDIR,"BIO,IML,MEDS",A,Meteorology,Météorologie,degree(angle),degré(angle),,,,,degrees,UAAA,degrees,EGTDZZ01,Direction from of wind (gust) relative to True North {wind direction} in the atmosphere,wind_gust_from_direction,,,wind_gust_from_direction,http://vocab.nerc.ac.uk/collection/P07/current/LIZMDSCX/,http://vocab.nerc.ac.uk/collection/P01/current/EGTDZZ01/,EGTDZZ01,Direction (from) of wind (gust) relative to True North {wind direction} in the atmosphere,SDN:P01::EGTDZZ01,Direction (from) of wind (gust) relative to True North {wind direction} in the atmosphere,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,UAAA,Degrees,SDN:P06::UAAA,Degrees,degree,Direction (from) of wind (gust) relative to True North {wind direction} in the atmosphere,
GF3,GE1$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,code table,table de code,,,,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,GE2$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,code table,table de code,,,,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,GE3$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,code table,table de code,,,,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,GEAR,"BIO,MEDS",,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,none,,
GF3,GEOP,"BIO,IML",A,Physical Oceanography,Océanographie physique,dimensionless,sans dimension,,,,,,,,,,geopotential,,,geopotential,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0627/,,,,,,,,,,,dimensionless,,
GF3,GEOT,MEDS,A,Geophysics,Géophysique,milligal,milligal,,geopotential,,,,,,,,,,,,,,,,,,,,,,,milligal,,
GF3,GFAA,MEDS,A,Geophysics,Géophysique,milligal,milligal,,gravity_anomaly_free_air,,,,,,,,,,,,,,,,,,,,,,,milligal,,
GF3,GG1$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,GG2$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,GG3$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,GGC$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,GGCD,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,period_of_current_measurement_or_drift,2265.0,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,GGCM,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,indicator_method_of_current_measurement,2266.0,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,GGDI,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,indicator_for_method_of_digitization,2262.0,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,GGEC,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,duration_and_time_of_eulerian_current_measurement,2264.0,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,GGI$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,GGIN,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,indicator_BATHY_TESAC,,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,GGK6,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,code table,table de code,,method_for_removing_ship_velocity,,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,GGLC,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,quality_of_location,3311.0,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,GGMS,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,identifier_of_message,,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,GGQF,MEDS,A,General purpose,Tout usage,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,GGSL,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,method_of_salinity/depth_measurement,2263.0,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,GGST,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,,1853.0,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,GGWI,MEDS,A,Position and navigation,Position et navigation,code table,table de code,,indicator_for_wind_speed,,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,GIN$,MEDS,A,Special IGOSS Indicator,Indicateur spécial IGOSS,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,GNC#,MEDS,A,General purpose,Tout usage,code table,table de code,,cruise_code_NODC,,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,GNCR,MEDS,A,General purpose,Tout usage,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,GPA$,MEDS,A,Physical Oceanography,Océanographie physique,dyne metre,dyne mètre,geopotential_height_anomaly,,,,,,,,,,,,geopotential_height_anomaly,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0629/,,,,,,,,,,,dyne metre,,
GF3,GPT$,MEDS,A,Meteorology,Météorologie,code table,table de code,,code_pressure_tendency,200.0,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,GRAV,MEDS,A,Geophysics,Géophysique,milligal,milligal,,gravity_observed,,,,,,,,,,,,,,,,,,,,,,,milligal,,
GF3,GSPD,"BIO,IML,MEDS",A,Meteorology,Météorologie,metre per second,mètre par seconde,,,,,m/s,UVAA,metres per second,EGTSZZ01,Speed of wind (gust) {wind speed} in the atmosphere,wind_speed_of_gust,,,wind_speed_of_gust,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0039/,http://vocab.nerc.ac.uk/collection/P01/current/EGTSZZ01/,EGTSZZ01,Speed of wind (gust) {wind speed} in the atmosphere,SDN:P01::EGTSZZ01,Speed of wind (gust) {wind speed} in the atmosphere,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/,UVAA,Metres per second,SDN:P06::UVAA,Metres per second,"m/s,metre per second",Speed of wind (gust) {wind speed} in the atmosphere,
GF3,H00$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,H15$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,H30$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,H45$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,H60$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,HAT$,MEDS,A,Physical Oceanography,Océanographie physique,degree Celsius,degré Celsius,,temperature_of_water_from_high_accuracy_sensor,,,,,,,,,,,,,,,,,,,,,,,degree Celsius,,
GF3,HCDM,"BIO,IML,MEDS",A,Physical Oceanography,Océanographie physique,degree(angle),degré(angle),,,,,degrees,UAAA,degrees,LCDAZZ01,Current direction in the water body,,,,,,http://vocab.nerc.ac.uk/collection/P01/current/LCDAZZ01/,LCDAZZ01,Direction (towards) of water current in the water body,SDN:P01::LCDAZZ01,Direction (towards) of water current in the water body,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,UAAA,Degrees,SDN:P06::UAAA,Degrees,degree,Direction (towards) of water current in the water body,
GF3,HCDT,"BIO,IML,MEDS",A,Physical Oceanography,Océanographie physique,degree(angle),degré(angle),,,,,degrees,UAAA,degrees,,,,,,,,,,,,,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,UAAA,Degrees,SDN:P06::UAAA,Degrees,degree,,
GF3,HCSP,"BIO,IML,MEDS",A,Physical Oceanography,Océanographie physique,metre per second,mètre par seconde,,,,,m/s,UVAA,metres per second,LCSAZZ01,Current speed (Eulerian) in the water body,barotropic_sea_water_x_velocity,,,barotropic_sea_water_x_velocity,http://vocab.nerc.ac.uk/collection/P07/current/CF12N188/,http://vocab.nerc.ac.uk/collection/P01/current/LCSAZZ01/,LCSAZZ01,Speed of water current (Eulerian measurement) in the water body,SDN:P01::LCSAZZ01,Speed of water current (Eulerian measurement) in the water body,http://vocab.nerc.ac.uk/collection/P06/current/UVAA/,UVAA,Metres per second,SDN:P06::UVAA,Metres per second,"m/s,metre per second",Speed of water current (Eulerian measurement) in the water body,
GF3,HEAD,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,heading_of_platform_to_true_north,,,,,,,,,Heading. Units: true degrees.,true degrees,,,,,,,,,,,,,"true degree,degree",Heading. Units: true degrees.,
GF3,HEX1,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,,,,,,,,,,milligram per metre cube,,
GF3,HEX2,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,,,,,,,,,,milligram per metre cube,,
GF3,HEXO,BIO,A,Biological Oceanography,Océanographie biologique,milligram per metre cube,milligramme par mètre cube,,,,,,,,,,,,,,,,,,,,,,,,,milligram per metre cube,,
GF3,HGHT,"BIO,IML,MEDS",A,Position and navigation,Position et navigation,metre,mètre,,,,,metres,ULAA,metres,,,height_above_mean_sea_level,,,height_above_mean_sea_level,http://vocab.nerc.ac.uk/collection/P07/current/8BFOBHU2/,,,,,,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,ULAA,Metres,SDN:P06::ULAA,Metres,metre,,
GF3,HGR$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,HHMM,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,HIGF,MEDS,A,Time and frequency,Temps et fréquence,hertz,hertz,,,,,,,,,,,,,,,,,,,,,,,,,hertz,,
GF3,HIN$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,HIS$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,HL1$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,HL2$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,HM2$,MEDS,A,Time and frequency,Temps et fréquence,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,HMN$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,HMT$,MEDS,A,Physical Oceanography,Océanographie physique,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,HMX$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,HMXR,MEDS,A,Meteorology,Météorologie,gram per kilogram,gramme par kilogramme,,humidity_mixing_ratio,,,,,,,,,,,,,,,,,,,,,,,gram per kilogram,,
GF3,HOG$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,HOH$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,HOUR,MEDS,A,Date and time within day,Date et temps dans une journée,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,HPR$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,HSC$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,HSUL,"BIO,IML,MEDS",A,Chemistry,Chimie,millimole per metre cube,millimole par mètre cube,,,,,mmol/m^3,MMCM,millimoles per cubic metre,H2SXZZXX,Concentration of hydrogen sulphide {H2S CAS 7783-06-4} per unit volume of the water body [dissolved plus reactive particulate phase],,,,,,http://vocab.nerc.ac.uk/collection/P01/current/H2SXZZXX/,H2SXZZXX,Concentration of hydrogen sulphide {H2S CAS 7783-06-4} per unit volume of the water body [dissolved plus reactive particulate phase],SDN:P01::H2SXZZXX,Concentration of hydrogen sulphide {H2S CAS 7783-06-4} per unit volume of the water body [dissolved plus reactive particulate phase],http://vocab.nerc.ac.uk/collection/P06/current/MMCM/,MMCM,Millimoles per cubic metre,SDN:P06::MMCM,Millimoles per cubic metre,"millimole per metre cube,mmol/m^3",Concentration of hydrogen sulphide {H2S CAS 7783-06-4} per unit volume of the water body [dissolved plus reactive particulate phase],
GF3,HTH$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,HTL$,MEDS,A,Physical Oceanography,Océanographie physique,metre,mètre,,height_of_xbt_launcher_above_water,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,HTSF,MEDS,A,Position and navigation,Position et navigation,metre,mètre,,height_above_the_sea_floor,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,HW1$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,HW2$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,HZY$,MEDS,A,Water Level,Niveau d'eau,metre,mètre,,,,,,,,,,,,,,,,,,,,,,,,,metre,,
GF3,ICD$,MEDS,A,General purpose,Tout usage,text,texte,,name_of_instrument,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,ICEF,MEDS,A,Physical Oceanography,Océanographie physique,code table,table de code,,flag_ice_in_hydrographic_observation_vicinity,,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,ICT$,MEDS,A,Physical Oceanography,Océanographie physique,metre,mètre,sea_ice_thickness,,,,,,,,,,,,sea_ice_thickness,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0369/,,,,,,,,,,,metre,,
GF3,IDEN,"BIO,IML,MEDS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF3,IN1$,MEDS,I,Instrument characteristics,Caractéristiques de l'instrument,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,IN2$,MEDS,I,Instrument characteristics,Caractéristiques de l'instrument,text,texte,,,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,IND$,MEDS,A,General purpose,Tout usage,hour,heure,,,,,,,,,,,,,,,,,,,,,,,,,hour,,
GF3,INS1,MEDS,A,General purpose,Tout usage,text,texte,,name_of_institute,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,INTP,MEDS,A,General purpose,Tout usage,code table,table de code,,,,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,INU$,MEDS,A,General purpose,Tout usage,hour,heure,,,,,,,,,,,,,,,,,,,,,,,,,hour,,
GF3,IRFB,MEDS,A,Biology,Biologie,nanomole per litre,nanomole par litre,,,,,,,,,,,,,,,,,,,,,,,,,nanomole per litre,,
GF3,IRUB,MEDS,A,Biology,Biologie,nanomole per litre,nanomole par litre,,,,,,,,,,,,,,,,,,,,,,,,,nanomole per litre,,
GF3,IST$,MEDS,A,General purpose,Tout usage,text,texte,,name_of_instrument,,,,,,,,,,,,,,,,,,,,,,,text,,
GF3,JPT$,MEDS,A,General purpose,Tout usage,code table,table de code,,code_jgofs_protocol_table,,,,,,,,,,,,,,,,,,,,,,,code table,,
GF3,KMEF,MEDS,A,Other organic chemical measurements,Autres mesures chimiques organiques,part per million,partie par million,,,,,,,,,,,,,,,,,,,,,,,,,part per million,,
GF3,LAT#,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,latitude_originator_NODC,,,,,,,,,,,,,,,,,,,,,,,degree,,
GF3,LAT$,MEDS,A,Position and navigation,Position et navigation,number,nombre,,,,,,,,,,,,,,,,,,,,,,,,,number,,
GF3,LATA,MEDS,A,Position and navigation,Position et navigation,degree Celsius,degré Celsius,,latitude_reported_with_every_depth,,,,,,,,,,,,,,,,,,,,,,,degree Celsius,,
GF3,LATD,"BIO,IML,MEDS",A,Position and navigation,Position et navigation,degree(angle),degré(angle),,,,,degrees,UAAA,degrees,ALATZZ01,Latitude north,latitude,,,latitude,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0600/,http://vocab.nerc.ac.uk/collection/P01/current/ALATZZ01/,ALATZZ01,Latitude north,SDN:P01::ALATZZ01,Latitude north,http://vocab.nerc.ac.uk/collection/P06/current/UAAA/,UAAA,Degrees,SDN:P06::UAAA,Degrees,degree,Latitude north,
GF3,LATI,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,latitude_positive_north,,,,,,,,,,,,,,,,,,,,,,,degree,,
GF3,LATM,MEDS,A,Position and navigation,Position et navigation,minute(angle),minute(angle),,latitude_minutes_within_degree,,,,,,,,,,,,,,,,,,,,,,,minute,,
GF3,LBL1,MEDS,A,Wave,Vague,second,seconde,,,,,,,,,,,,,,,,,,,,,,,,,second,,
GF3,LBSZ,MEDS,,,,,,,,,,,,,,,,Lower size fractioned bin size.,,,,,,,,,,,,,,,Lower size fractioned bin size.,
GF3,LCF$,MEDS,A,Wave,Vague,hertz,hertz,,,,,,,,,,,,,,,,,,,,,,,,,hertz,,
GF3,LCHL,"BIO,MEDS",,,,,,,,,,mg/m^3,,,,,,,,,,,,,,,,,,,,mg/m^3,,
GF3,LHIS,"BIO,MEDS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GF3,LINC,MEDS,A,Meteorology,Météorologie,watt per metre square,watt par mètre carré,,long_wave_radiation_incoming,,,,,,,,,,,,,,,,,,,,,,,watt per metre square,,
GF3,LN2$,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,,,,,,,,,,,,,,,,,,,,,,,,degree,,
GF3,LNG$,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,longitude_from_GPS,,,,,,,,,,,,,,,,,,,,,,,degree,,
GF3,LON#,MEDS,A,Position and navigation,Position et navigation,degree(angle),degré(angle),,longitude_originator_NODC,,,,,,,,,,,,,,,,,,,,,,,degree,,
GF3,LON$,MEDS,A,Position and navigation,Position et navigation,number,nombre,,,,,,,,,,,,,,,,,,,,,,,,,number,,
